date,price
2007-09-03,39000
2007-09-04,39000
2007-09-05,39000
2007-09-06,39000
2007-09-07,39000
2007-09-08,39000
2007-09-09,39000
2007-09-10,39000
2007-09-11,39000
2007-09-12,39000
2007-09-13,39000
2007-09-14,39000
2007-09-15,39000
2007-09-16,39000
2007-09-17,39000
2007-09-18,39000
2007-09-19,39000
2007-09-20,39000
2007-09-21,39000
2007-09-22,39000
2007-09-23,39000
2007-09-24,39000
2007-09-25,39000
2007-09-26,39000
2007-09-27,39000
2007-09-28,39000
2007-09-29,39000
2007-09-30,39000
2007-10-01,38000
2007-10-02,38000
2007-10-03,38000
2007-10-04,38000
2007-10-05,38000
2007-10-06,38000
2007-10-07,38000
2007-10-08,38000
2007-10-09,38000
2007-10-10,38000
2007-10-11,38000
2007-10-12,38000
2007-10-13,38000
2007-10-14,38000
2007-10-15,38000
2007-10-16,38000
2007-10-17,38000
2007-10-18,38000
2007-10-19,38000
2007-10-20,38000
2007-10-21,38000
2007-10-22,38000
2007-10-23,38000
2007-10-24,38000
2007-10-25,38000
2007-10-26,38000
2007-10-27,38000
2007-10-28,38000
